rep	peak_num	value
3	313	2020.1736609999998
3	314	608.6571703
3	315	891.4710953
3	316	925.9046301
3	317	1542.7732010000002
3	318	3208.1219819999997
3	319	480.37931890000004
3	320	924.749676
3	321	1536.4624310000002
3	322	1563.756865
3	323	1338.326618
3	324	1161.212513
3	326	1001.5915229999999
3	327	1089.0826146999998
3	328	1312.499892
3	329	1875.051604
3	330	1774.790085
3	331	2383.705041
3	335	785.805977
3	336	627.012222
3	337	2180.896309
3	338	584.439989
3	340	810.9723951999999
3	342	570.7407762
3	343	794.827811
3	344	907.887616
3	345	846.333398
3	346	774.551699
3	347	696.5198730000001
3	348	680.5406963
3	349	1145.7638407
3	350	1520.4968549999999
3	351	948.3509094999998
3	352	454.80621699999995
3	353	836.0828965
3	354	834.659949
3	356	798.869773
3	357	1020.967327
3	358	1928.718536
3	361	523.1352634
3	362	466.02094810000006
3	363	1553.3011752999998
3	364	643.393172
3	366	1123.903269
3	367	814.512036
3	368	1323.1191430000001
3	369	600.4126931000001
3	370	754.462424
3	371	532.8071926000001
3	372	1133.716072
3	374	667.2026872
3	375	381.186687
3	376	725.9413863000001
3	377	815.2798048000001
3	378	504.7148282
3	379	1300.7382739999998
3	380	698.088611
3	381	1088.912905
3	382	819.5675884
3	383	982.9632310000001
3	384	1432.939549
3	386	874.712148
3	387	434.7177963
3	389	543.5852721
3	390	387.2575003
3	391	766.0380979
3	392	1981.7127829999997
3	393	995.1678059999999
3	394	2186.328446
3	395	1031.76539
3	396	1047.7919885000001
3	397	580.2449489
3	398	636.0023015
3	399	873.2978600999999
3	401	850.3244042
3	402	1176.367501
3	403	2124.480941
3	404	748.8734420000001
3	405	441.60569019999997
3	406	847.8486049999999
3	407	518.1173407
3	408	1497.467741
3	409	985.526482
3	410	2174.3921765
3	411	912.4113206999999
3	412	849.814002
3	414	633.979
3	415	1311.295189
3	416	968.3613700000001
3	417	306.8921633
3	418	1111.768553
3	419	299.3095154
3	421	1264.401953
3	422	637.0357406
3	423	775.5028612
3	424	584.2747360000001
3	425	503.0102072
3	426	656.382165
3	427	509.7917336
3	428	2229.865745
3	429	2119.0384910000002
3	430	713.832357
3	431	484.245212
3	432	477.509139
3	433	2822.20051
3	434	1381.3539210000001
3	437	542.6311460000001
3	438	1590.815381
3	439	656.867305
3	440	729.1041882
3	441	402.8770767
3	442	874.6337581999999
3	443	533.734038
3	444	1952.264737
3	445	455.3279033
3	446	772.320104
3	447	1920.80351
3	448	1931.1526400000002
3	449	615.3759712
3	450	1491.0026879999998
3	451	315.2448958
3	452	2182.425916
3	453	764.025523
3	454	808.9005329999999
3	455	1833.7415268
3	456	569.3393739
3	457	362.02055970000004
3	458	837.180745
3	459	757.7316456
3	464	911.8757679999999
3	465	489.9012859
3	466	834.8949717999999
3	467	1362.2234529999998
3	469	1518.8984180000002
3	470	1231.087001
3	471	643.686431
3	472	413.354983
3	473	644.7629125
3	474	1316.20437
3	475	712.120821
3	476	391.8067197
3	477	632.8897760000001
3	478	1526.0798802000002
3	479	1108.198921
3	480	826.1974089999999
3	481	1265.731783
3	482	2072.035359
3	483	850.5411030000001
3	484	326.29232090000005
3	485	418.4638896
3	486	201.3125072
3	487	1372.608752
3	488	213.5574335
3	490	931.550715
3	492	616.1538293
3	493	441.6123666
3	494	269.88092200000006
3	495	1076.20469
3	496	566.279176
3	497	222.0851384
3	498	289.78753299999994
3	499	669.5740241
3	500	1452.3590149999998
3	501	496.33745969999995
3	502	894.5793309999999
3	503	289.38136199999997
3	505	821.9917430000002
3	506	3660.9462610000005
3	508	249.005518
3	509	699.638413
3	511	851.92169
3	514	769.9348064000001
3	515	528.602569
3	517	327.69385739999996
3	518	491.02329900000007
3	520	5204.98415
3	521	1435.8773410000001
3	522	816.011694
3	523	743.0215498
3	524	411.3293438
3	525	883.9430030000001
3	526	860.72462
3	527	573.687382
3	528	829.584262
3	529	875.915481
3	530	728.805333
3	531	909.9506339999999
3	532	176.551635
3	533	1400.632854
3	534	1996.961157
3	535	380.7953972
3	536	1503.8355620000002
3	537	603.183403
3	539	317.5371168
3	540	1193.4311500000001
3	541	675.5333302
3	542	545.1180999999999
3	543	550.995771
3	544	342.163174
